id;dominio_id;nome;descricao;status;substituido_por
ORG.RIS.MER;ORG.RIS;Risco de Mercado;Mensuracao e controle de risco de mercado e IRRBB;ativo;
ORG.RIS.LIQ;ORG.RIS;Risco de Liquidez;Mensuracao e controle de risco de liquidez;ativo;
ORG.RIS.OPE;ORG.RIS;Risco Operacional;Gestao de risco operacional, perdas e KRIs;ativo;
ORG.RIS.SAC;ORG.RIS;Risco Socioambiental e Climatico;Gestao de risco social, ambiental e climatico;ativo;
ORG.RIS.MOD;ORG.RIS;Modelagem e Validacao;Desenvolvimento e validacao independente de modelos;ativo;
ORG.RIS.CAP;ORG.RIS;Capital e ICAAP;Gestao de capital, ICAAP e teste de estresse;ativo;
ORG.CIN.COM;ORG.CIN;Compliance Regulatorio;Conformidade regulatoria e pauta normativa;ativo;
ORG.CIN.CTI;ORG.CIN;Controles Internos;Avaliacao e monitoramento de controles internos;ativo;
ORG.CIN.PLD;ORG.CIN;Prevencao a Crimes Financeiros (PLD-FT);Funcao de PLD-FT e combate ao financiamento ao terrorismo;ativo;
ORG.CIN.CON;ORG.CIN;Conduta e Etica;Conduta de mercado, etica e suitability;ativo;
ORG.CIN.LGP;ORG.CIN;Privacidade e Protecao de Dados;Governanca de privacidade e LGPD;ativo;
ORG.CIN.SEG;ORG.CIN;Seguranca Cibernetica (governanca);Governanca e politica de seguranca cibernetica;ativo;
ORG.JUR.CTC;ORG.JUR;Contencioso;Gestao de processos judiciais e administrativos;ativo;
ORG.JUR.CON;ORG.JUR;Consultivo;Consultoria juridica a negocios e areas;ativo;
ORG.JUR.SOC;ORG.JUR;Societario e Regulatorio;Assuntos societarios e regulatorios;ativo;
ORG.JUR.TRA;ORG.JUR;Trabalhista;Assuntos trabalhistas e previdenciarios;ativo;
ORG.FIN.CTL;ORG.FIN;Controladoria;Controladoria e controle gerencial;ativo;
ORG.FIN.CTB;ORG.FIN;Contabilidade;Contabilidade societaria e fiscal;ativo;
ORG.FIN.FPA;ORG.FIN;Planejamento Financeiro;Planejamento, orcamento e analise financeira;ativo;
ORG.FIN.RI;ORG.FIN;Relacoes com Investidores;Comunicacao com investidores e mercado;ativo;
ORG.FIN.TRI;ORG.FIN;Fiscal e Tributario;Gestao fiscal, tributaria e obrigacoes acessorias;ativo;
ORG.AUD.NEG;ORG.AUD;Auditoria de Negocios;Auditoria de processos de negocio e operacoes;ativo;
ORG.AUD.TI;ORG.AUD;Auditoria de TI;Auditoria de tecnologia e seguranca;ativo;
ORG.AUD.CON;ORG.AUD;Auditoria Continua;Monitoramento continuo e analytics de auditoria;ativo;
ORG.OUV.OUV;ORG.OUV;Ouvidoria;Ouvidoria e tratamento de demandas de ultima instancia;ativo;
ORG.OUV.SAC;ORG.OUV;SAC e Atendimento;Servico de atendimento ao consumidor;ativo;
ORG.OUV.REG;ORG.OUV;Relacionamento com Reguladores;Interlocucao com BACEN, CVM e demais reguladores;ativo;
ORG.RH.GP;ORG.RH;Gestao de Pessoas;Gestao de talentos, carreira e desempenho;ativo;
ORG.RH.FOL;ORG.RH;Folha e Beneficios;Folha de pagamento, beneficios e obrigacoes;ativo;
ORG.RH.REC;ORG.RH;Recrutamento;Atracao, selecao e admissao;ativo;
ORG.RH.TRE;ORG.RH;Treinamento e Cultura;Desenvolvimento, treinamento e cultura organizacional;ativo;
ORG.FOR.GFO;ORG.FOR;Gestao de Fornecedores;Selecao, contratacao e gestao de terceiros;ativo;
ORG.FOR.CTR;ORG.FOR;Contratos e Terceiros;Gestao contratual e risco de terceiros;ativo;
ORG.FOR.PRE;ORG.FOR;Administracao Predial;Gestao predial e facilities;ativo;
ORG.FOR.SEG;ORG.FOR;Seguranca Fisica;Seguranca patrimonial e fisica;ativo;
